PassengerId,Survived,Pclass,LastName,RestOfName
79,YES,2,Caldwell, Master. Alden Gates
80,YES,3,Dowdell, Miss. Elizabeth
81,NO,3,Waelens, Mr. Achille
82,YES,3,Sheerlinck, Mr. Jan Baptist
83,YES,3,McDermott, Miss. Brigdet Delia
84,NO,1,Carrau, Mr. Francisco M
85,YES,2,Ilett, Miss. Bertha
86,YES,3,Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)
87,NO,3,Ford, Mr. William Neal
88,NO,3,Slocovski, Mr. Selman Francis
89,YES,1,Fortune, Miss. Mabel Helen
90,NO,3,Celotti, Mr. Francesco
91,NO,3,Christmann, Mr. Emil
92,NO,3,Andreasson, Mr. Paul Edvin
93,NO,1,Chaffee, Mr. Herbert Fuller
94,NO,3,Dean, Mr. Bertram Frank
95,NO,3,Coxon, Mr. Daniel
96,NO,3,Shorney, Mr. Charles Joseph
97,NO,1,Goldschmidt, Mr. George B
98,YES,1,Greenfield, Mr. William Bertram
99,YES,2,Doling, Mrs. John T (Ada Julia Bone)
100,NO,2,Kantor, Mr. Sinai
101,NO,3,Petranec, Miss. Matilda
102,NO,3,Petroff," Mr. Pastcho (""Pentcho"")"
103,NO,1,White, Mr. Richard Frasar
104,NO,3,Johansson, Mr. Gustaf Joel
105,NO,3,Gustafsson, Mr. Anders Vilhelm
106,NO,3,Mionoff, Mr. Stoytcho
107,YES,3,Salkjelsvik, Miss. Anna Kristine
108,YES,3,Moss, Mr. Albert Johan
109,NO,3,Rekic, Mr. Tido
110,YES,3,Moran, Miss. Bertha
111,NO,1,Porter, Mr. Walter Chamberlain
112,NO,3,Zabour, Miss. Hileni
113,NO,3,Barton, Mr. David John
114,NO,3,Jussila, Miss. Katriina
115,NO,3,Attalah, Miss. Malake
116,NO,3,Pekoniemi, Mr. Edvard
117,NO,3,Connors, Mr. Patrick
118,NO,2,Turpin, Mr. William John Robert
119,NO,1,Baxter, Mr. Quigg Edmond
120,NO,3,Andersson, Miss. Ellis Anna Maria
121,NO,2,Hickman, Mr. Stanley George
122,NO,3,Moore, Mr. Leonard Charles
123,NO,2,Nasser, Mr. Nicholas
124,YES,2,Webber, Miss. Susan
125,NO,1,White, Mr. Percival Wayland
126,YES,3,Nicola-Yarred, Master. Elias
127,NO,3,McMahon, Mr. Martin
128,YES,3,Madsen, Mr. Fridtjof Arne
129,YES,3,Peter, Miss. Anna
130,NO,3,Ekstrom, Mr. Johan
131,NO,3,Drazenoic, Mr. Jozef
132,NO,3,Coelho, Mr. Domingos Fernandeo
133,NO,3,Robins, Mrs. Alexander A (Grace Charity Laury)
134,YES,2,Weisz, Mrs. Leopold (Mathilde Francoise Pede)
135,NO,2,Sobey, Mr. Samuel James Hayden
136,NO,2,Richard, Mr. Emile
137,YES,1,Newsom, Miss. Helen Monypeny
138,NO,1,Futrelle, Mr. Jacques Heath
139,NO,3,Osen, Mr. Olaf Elon
140,NO,1,Giglio, Mr. Victor
141,NO,3,Boulos, Mrs. Joseph (Sultana)
142,YES,3,Nysten, Miss. Anna Sofia
143,YES,3,Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)
144,NO,3,Burke, Mr. Jeremiah
145,NO,2,Andrew, Mr. Edgardo Samuel
146,NO,2,Nicholls, Mr. Joseph Charles
147,YES,3,Andersson," Mr. August Edvard (""Wennerstrom"")"
148,NO,3,Ford," Miss. Robina Maggie ""Ruby"""
149,NO,2,Navratil," Mr. Michel (""Louis M Hoffman"")"
150,NO,2,Byles, Rev. Thomas Roussel Davids
151,NO,2,Bateman, Rev. Robert James
152,YES,1,Pears, Mrs. Thomas (Edith Wearne)
153,NO,3,Meo, Mr. Alfonzo
154,NO,3,van Billiard, Mr. Austin Blyler
155,NO,3,Olsen, Mr. Ole Martin
156,NO,1,Williams, Mr. Charles Duane
157,YES,3,Gilnagh," Miss. Katherine ""Katie"""
158,NO,3,Corn, Mr. Harry
159,NO,3,Smiljanic, Mr. Mile
160,NO,3,Sage, Master. Thomas Henry
161,NO,3,Cribb, Mr. John Hatfield
162,YES,2,Watt," Mrs. James (Elizabeth ""Bessie"" Inglis Milne)"
163,NO,3,Bengtsson, Mr. John Viktor
164,NO,3,Calic, Mr. Jovo
165,NO,3,Panula, Master. Eino Viljami
166,YES,3,Goldsmith," Master. Frank John William ""Frankie"""
167,YES,1,Chibnall, Mrs. (Edith Martha Bowerman)
168,NO,3,Skoog, Mrs. William (Anna Bernhardina Karlsson)
169,NO,1,Baumann, Mr. John D
170,NO,3,Ling, Mr. Lee
171,NO,1,Van der hoef, Mr. Wyckoff
172,NO,3,Rice, Master. Arthur
173,YES,3,Johnson, Miss. Eleanor Ileen
174,NO,3,Sivola, Mr. Antti Wilhelm
175,NO,1,Smith, Mr. James Clinch
176,NO,3,Klasen, Mr. Klas Albin
177,NO,3,Lefebre, Master. Henry Forbes
178,NO,1,Isham, Miss. Ann Elizabeth
179,NO,2,Hale, Mr. Reginald
180,NO,3,Leonard, Mr. Lionel
181,NO,3,Sage, Miss. Constance Gladys
182,NO,2,Pernot, Mr. Rene
183,NO,3,Asplund, Master. Clarence Gustaf Hugo
184,YES,2,Becker, Master. Richard F
185,YES,3,Kink-Heilmann, Miss. Luise Gretchen
186,NO,1,Rood, Mr. Hugh Roscoe
187,YES,3,O'Brien," Mrs. Thomas (Johanna ""Hannah"" Godfrey)"
188,YES,1,Romaine," Mr. Charles Hallace (""Mr C Rolmane"")"
189,NO,3,Bourke, Mr. John
190,NO,3,Turcin, Mr. Stjepan
191,YES,2,Pinsky, Mrs. (Rosa)
192,NO,2,Carbines, Mr. William
193,YES,3,Andersen-Jensen, Miss. Carla Christine Nielsine
194,YES,2,Navratil, Master. Michel M
195,YES,1,Brown, Mrs. James Joseph (Margaret Tobin)
196,YES,1,Lurette, Miss. Elise
197,NO,3,Mernagh, Mr. Robert
198,NO,3,Olsen, Mr. Karl Siegwart Andreas
199,YES,3,Madigan," Miss. Margaret ""Maggie"""
200,NO,2,Yrois," Miss. Henriette (""Mrs Harbeck"")"
201,NO,3,Vande Walle, Mr. Nestor Cyriel
202,NO,3,Sage, Mr. Frederick
203,NO,3,Johanson, Mr. Jakob Alfred
204,NO,3,Youseff, Mr. Gerious
205,YES,3,Cohen," Mr. Gurshon ""Gus"""
206,NO,3,Strom, Miss. Telma Matilda
207,NO,3,Backstrom, Mr. Karl Alfred
208,YES,3,Albimona, Mr. Nassef Cassem
209,YES,3,Carr," Miss. Helen ""Ellen"""
210,YES,1,Blank, Mr. Henry
211,NO,3,Ali, Mr. Ahmed
212,YES,2,Cameron, Miss. Clear Annie
213,NO,3,Perkin, Mr. John Henry
214,NO,2,Givard, Mr. Hans Kristensen
215,NO,3,Kiernan, Mr. Philip
216,YES,1,Newell, Miss. Madeleine
217,YES,3,Honkanen, Miss. Eliina
218,NO,2,Jacobsohn, Mr. Sidney Samuel
219,YES,1,Bazzani, Miss. Albina
220,NO,2,Harris, Mr. Walter
221,YES,3,Sunderland, Mr. Victor Francis
222,NO,2,Bracken, Mr. James H
223,NO,3,Green, Mr. George Henry
224,NO,3,Nenkoff, Mr. Christo
225,YES,1,Hoyt, Mr. Frederick Maxfield
226,NO,3,Berglund, Mr. Karl Ivar Sven
227,YES,2,Mellors, Mr. William John
228,NO,3,Lovell," Mr. John Hall (""Henry"")"
229,NO,2,Fahlstrom, Mr. Arne Jonas
230,NO,3,Lefebre, Miss. Mathilde
231,YES,1,Harris, Mrs. Henry Birkhardt (Irene Wallach)
232,NO,3,Larsson, Mr. Bengt Edvin
233,NO,2,Sjostedt, Mr. Ernst Adolf
234,YES,3,Asplund, Miss. Lillian Gertrud
235,NO,2,Leyson, Mr. Robert William Norman
236,NO,3,Harknett, Miss. Alice Phoebe
237,NO,2,Hold, Mr. Stephen
238,YES,2,Collyer," Miss. Marjorie ""Lottie"""
239,NO,2,Pengelly, Mr. Frederick William
240,NO,2,Hunt, Mr. George Henry
241,NO,3,Zabour, Miss. Thamine
242,YES,3,Murphy," Miss. Katherine ""Kate"""
243,NO,2,Coleridge, Mr. Reginald Charles
244,NO,3,Maenpaa, Mr. Matti Alexanteri
245,NO,3,Attalah, Mr. Sleiman
246,NO,1,Minahan, Dr. William Edward
247,NO,3,Lindahl, Miss. Agda Thorilda Viktoria
248,YES,2,Hamalainen, Mrs. William (Anna)
249,YES,1,Beckwith, Mr. Richard Leonard
250,NO,2,Carter, Rev. Ernest Courtenay
251,NO,3,Reed, Mr. James George
252,NO,3,Strom, Mrs. Wilhelm (Elna Matilda Persson)
253,NO,1,Stead, Mr. William Thomas
254,NO,3,Lobb, Mr. William Arthur
255,NO,3,Rosblom, Mrs. Viktor (Helena Wilhelmina)
256,YES,3,Touma, Mrs. Darwis (Hanne Youssef Razi)
257,YES,1,Thorne, Mrs. Gertrude Maybelle
258,YES,1,Cherry, Miss. Gladys
259,YES,1,Ward, Miss. Anna
260,YES,2,Parrish, Mrs. (Lutie Davis)
261,NO,3,Smith, Mr. Thomas
262,YES,3,Asplund, Master. Edvin Rojj Felix
263,NO,1,Taussig, Mr. Emil
264,NO,1,Harrison, Mr. William
265,NO,3,Henry, Miss. Delia
266,NO,2,Reeves, Mr. David
267,NO,3,Panula, Mr. Ernesti Arvid
268,YES,3,Persson, Mr. Ernst Ulrik
269,YES,1,Graham, Mrs. William Thompson (Edith Junkins)
270,YES,1,Bissette, Miss. Amelia
271,NO,1,Cairns, Mr. Alexander
272,YES,3,Tornquist, Mr. William Henry
273,YES,2,Mellinger, Mrs. (Elizabeth Anne Maidment)
274,NO,1,Natsch, Mr. Charles H
275,YES,3,Healy," Miss. Hanora ""Nora"""
276,YES,1,Andrews, Miss. Kornelia Theodosia
277,NO,3,Lindblom, Miss. Augusta Charlotta
278,NO,2,Parkes," Mr. Francis ""Frank"""
279,NO,3,Rice, Master. Eric
280,YES,3,Abbott, Mrs. Stanton (Rosa Hunt)
281,NO,3,Duane, Mr. Frank
282,NO,3,Olsson, Mr. Nils Johan Goransson
283,NO,3,de Pelsmaeker, Mr. Alfons
284,YES,3,Dorking, Mr. Edward Arthur
285,NO,1,Smith, Mr. Richard William
286,NO,3,Stankovic, Mr. Ivan
287,YES,3,de Mulder, Mr. Theodore
288,NO,3,Naidenoff, Mr. Penko
289,YES,2,Hosono, Mr. Masabumi
290,YES,3,Connolly, Miss. Kate
291,YES,1,Barber," Miss. Ellen ""Nellie"""
292,YES,1,Bishop, Mrs. Dickinson H (Helen Walton)
293,NO,2,Levy, Mr. Rene Jacques
294,NO,3,Haas, Miss. Aloisia
295,NO,3,Mineff, Mr. Ivan
296,NO,1,Lewy, Mr. Ervin G
297,NO,3,Hanna, Mr. Mansour
298,NO,1,Allison, Miss. Helen Loraine
299,YES,1,Saalfeld, Mr. Adolphe
300,YES,1,Baxter, Mrs. James (Helene DeLaudeniere Chaput)
301,YES,3,Kelly," Miss. Anna Katherine ""Annie Kate"""
302,YES,3,McCoy, Mr. Bernard
303,NO,3,Johnson, Mr. William Cahoone Jr
304,YES,2,Keane, Miss. Nora A
305,NO,3,Williams," Mr. Howard Hugh ""Harry"""
306,YES,1,Allison, Master. Hudson Trevor
307,YES,1,Fleming, Miss. Margaret
308,YES,1,Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)
309,NO,2,Abelson, Mr. Samuel
310,YES,1,Francatelli, Miss. Laura Mabel
311,YES,1,Hays, Miss. Margaret Bechstein
312,YES,1,Ryerson, Miss. Emily Borie
313,NO,2,Lahtinen, Mrs. William (Anna Sylfven)
314,NO,3,Hendekovic, Mr. Ignjac
315,NO,2,Hart, Mr. Benjamin
316,YES,3,Nilsson, Miss. Helmina Josefina
317,YES,2,Kantor, Mrs. Sinai (Miriam Sternin)
318,NO,2,Moraweck, Dr. Ernest
319,YES,1,Wick, Miss. Mary Natalie
320,YES,1,Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)
321,NO,3,Dennis, Mr. Samuel
322,NO,3,Danoff, Mr. Yoto
323,YES,2,Slayter, Miss. Hilda Mary
324,YES,2,Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)
325,NO,3,Sage, Mr. George John Jr
326,YES,1,Young, Miss. Marie Grice
327,NO,3,Nysveen, Mr. Johan Hansen
328,YES,2,Ball, Mrs. (Ada E Hall)
329,YES,3,Goldsmith, Mrs. Frank John (Emily Alice Brown)
330,YES,1,Hippach, Miss. Jean Gertrude
331,YES,3,McCoy, Miss. Agnes
332,NO,1,Partner, Mr. Austen
333,NO,1,Graham, Mr. George Edward
334,NO,3,Vander Planke, Mr. Leo Edmondus
335,YES,1,Frauenthal, Mrs. Henry William (Clara Heinsheimer)
336,NO,3,Denkoff, Mr. Mitto
337,NO,1,Pears, Mr. Thomas Clinton
338,YES,1,Burns, Miss. Elizabeth Margaret
339,YES,3,Dahl, Mr. Karl Edwart
340,NO,1,Blackwell, Mr. Stephen Weart
341,YES,2,Navratil, Master. Edmond Roger
342,YES,1,Fortune, Miss. Alice Elizabeth
343,NO,2,Collander, Mr. Erik Gustaf
344,NO,2,Sedgwick, Mr. Charles Frederick Waddington
345,NO,2,Fox, Mr. Stanley Hubert
346,YES,2,Brown," Miss. Amelia ""Mildred"""
347,YES,2,Smith, Miss. Marion Elsie
348,YES,3,Davison, Mrs. Thomas Henry (Mary E Finck)
349,YES,3,Coutts," Master. William Loch ""William"""
350,NO,3,Dimic, Mr. Jovan
351,NO,3,Odahl, Mr. Nils Martin
352,NO,1,Williams-Lambert, Mr. Fletcher Fellows
353,NO,3,Elias, Mr. Tannous
354,NO,3,Arnold-Franchi, Mr. Josef
355,NO,3,Yousif, Mr. Wazli
356,NO,3,Vanden Steen, Mr. Leo Peter
357,YES,1,Bowerman, Miss. Elsie Edith
358,NO,2,Funk, Miss. Annie Clemmer
359,YES,3,McGovern, Miss. Mary
360,YES,3,Mockler," Miss. Helen Mary ""Ellie"""
361,NO,3,Skoog, Mr. Wilhelm
362,NO,2,del Carlo, Mr. Sebastiano
363,NO,3,Barbara, Mrs. (Catherine David)
364,NO,3,Asim, Mr. Adola
365,NO,3,O'Brien, Mr. Thomas
366,NO,3,Adahl, Mr. Mauritz Nils Martin
367,YES,1,Warren, Mrs. Frank Manley (Anna Sophia Atkinson)
368,YES,3,Moussa, Mrs. (Mantoura Boulos)
369,YES,3,Jermyn, Miss. Annie
370,YES,1,Aubart, Mme. Leontine Pauline
371,YES,1,Harder, Mr. George Achilles
372,NO,3,Wiklund, Mr. Jakob Alfred
373,NO,3,Beavan, Mr. William Thomas
374,NO,1,Ringhini, Mr. Sante
375,NO,3,Palsson, Miss. Stina Viola
376,YES,1,Meyer, Mrs. Edgar Joseph (Leila Saks)
377,YES,3,Landergren, Miss. Aurora Adelia
378,NO,1,Widener, Mr. Harry Elkins
379,NO,3,Betros, Mr. Tannous
380,NO,3,Gustafsson, Mr. Karl Gideon
381,YES,1,Bidois, Miss. Rosalie
382,YES,3,Nakid," Miss. Maria (""Mary"")"
383,NO,3,Tikkanen, Mr. Juho
384,YES,1,Holverson, Mrs. Alexander Oskar (Mary Aline Towner)
385,NO,3,Plotcharsky, Mr. Vasil
386,NO,2,Davies, Mr. Charles Henry
387,NO,3,Goodwin, Master. Sidney Leonard
388,YES,2,Buss, Miss. Kate
389,NO,3,Sadlier, Mr. Matthew
390,YES,2,Lehmann, Miss. Bertha
391,YES,1,Carter, Mr. William Ernest
392,YES,3,Jansson, Mr. Carl Olof
393,NO,3,Gustafsson, Mr. Johan Birger
394,YES,1,Newell, Miss. Marjorie
395,YES,3,Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)
396,NO,3,Johansson, Mr. Erik
397,NO,3,Olsson, Miss. Elina
398,NO,2,McKane, Mr. Peter David
399,NO,2,Pain, Dr. Alfred
400,YES,2,Trout, Mrs. William H (Jessie L)
401,YES,3,Niskanen, Mr. Juha
402,NO,3,Adams, Mr. John
403,NO,3,Jussila, Miss. Mari Aina
404,NO,3,Hakkarainen, Mr. Pekka Pietari
405,NO,3,Oreskovic, Miss. Marija
406,NO,2,Gale, Mr. Shadrach
407,NO,3,Widegren, Mr. Carl/Charles Peter
408,YES,2,Richards, Master. William Rowe
409,NO,3,Birkeland, Mr. Hans Martin Monsen
410,NO,3,Lefebre, Miss. Ida
411,NO,3,Sdycoff, Mr. Todor
412,NO,3,Hart, Mr. Henry
413,YES,1,Minahan, Miss. Daisy E
414,NO,2,Cunningham, Mr. Alfred Fleming
415,YES,3,Sundman, Mr. Johan Julian
416,NO,3,Meek, Mrs. Thomas (Annie Louise Rowley)
417,YES,2,Drew, Mrs. James Vivian (Lulu Thorne Christian)
418,YES,2,Silven, Miss. Lyyli Karoliina
419,NO,2,Matthews, Mr. William John
420,NO,3,Van Impe, Miss. Catharina
421,NO,3,Gheorgheff, Mr. Stanio
422,NO,3,Charters, Mr. David
423,NO,3,Zimmerman, Mr. Leo
424,NO,3,Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)
425,NO,3,Rosblom, Mr. Viktor Richard
426,NO,3,Wiseman, Mr. Phillippe
427,YES,2,Clarke, Mrs. Charles V (Ada Maria Winfield)
428,YES,2,Phillips," Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")"
429,NO,3,Flynn, Mr. James
430,YES,3,Pickard, Mr. Berk (Berk Trembisky)
431,YES,1,Bjornstrom-Steffansson, Mr. Mauritz Hakan
432,YES,3,Thorneycroft, Mrs. Percival (Florence Kate White)
433,YES,2,Louch, Mrs. Charles Alexander (Alice Adelaide Slow)
434,NO,3,Kallio, Mr. Nikolai Erland
435,NO,1,Silvey, Mr. William Baird
436,YES,1,Carter, Miss. Lucile Polk
437,NO,3,Ford," Miss. Doolina Margaret ""Daisy"""
438,YES,2,Richards, Mrs. Sidney (Emily Hocking)
439,NO,1,Fortune, Mr. Mark
440,NO,2,Kvillner, Mr. Johan Henrik Johannesson
441,YES,2,Hart, Mrs. Benjamin (Esther Ada Bloomfield)
442,NO,3,Hampe, Mr. Leon
443,NO,3,Petterson, Mr. Johan Emil
444,YES,2,Reynaldo, Ms. Encarnacion
445,YES,3,Johannesen-Bratthammer, Mr. Bernt
446,YES,1,Dodge, Master. Washington
447,YES,2,Mellinger, Miss. Madeleine Violet
448,YES,1,Seward, Mr. Frederic Kimber
449,YES,3,Baclini, Miss. Marie Catherine
450,YES,1,Peuchen, Major. Arthur Godfrey
451,NO,2,West, Mr. Edwy Arthur
452,NO,3,Hagland, Mr. Ingvald Olai Olsen
453,NO,1,Foreman, Mr. Benjamin Laventall
454,YES,1,Goldenberg, Mr. Samuel L
455,NO,3,Peduzzi, Mr. Joseph
456,YES,3,Jalsevac, Mr. Ivan
457,NO,1,Millet, Mr. Francis Davis
458,YES,1,Kenyon, Mrs. Frederick R (Marion)
459,YES,2,Toomey, Miss. Ellen
460,NO,3,O'Connor, Mr. Maurice
461,YES,1,Anderson, Mr. Harry
462,NO,3,Morley, Mr. William
463,NO,1,Gee, Mr. Arthur H
464,NO,2,Milling, Mr. Jacob Christian
465,NO,3,Maisner, Mr. Simon
466,NO,3,Goncalves, Mr. Manuel Estanslas
467,NO,2,Campbell, Mr. William
468,NO,1,Smart, Mr. John Montgomery
469,NO,3,Scanlan, Mr. James
470,YES,3,Baclini, Miss. Helene Barbara
471,NO,3,Keefe, Mr. Arthur
472,NO,3,Cacic, Mr. Luka
473,YES,2,West, Mrs. Edwy Arthur (Ada Mary Worth)
474,YES,2,Jerwan, Mrs. Amin S (Marie Marthe Thuillard)
475,NO,3,Strandberg, Miss. Ida Sofia
476,NO,1,Clifford, Mr. George Quincy
477,NO,2,Renouf, Mr. Peter Henry
478,NO,3,Braund, Mr. Lewis Richard
479,NO,3,Karlsson, Mr. Nils August
480,YES,3,Hirvonen, Miss. Hildur E
481,NO,3,Goodwin, Master. Harold Victor
482,NO,2,Frost," Mr. Anthony Wood ""Archie"""
483,NO,3,Rouse, Mr. Richard Henry
484,YES,3,Turkula, Mrs. (Hedwig)
485,YES,1,Bishop, Mr. Dickinson H
486,NO,3,Lefebre, Miss. Jeannie
487,YES,1,Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)
488,NO,1,Kent, Mr. Edward Austin
489,NO,3,Somerton, Mr. Francis William
490,YES,3,Coutts," Master. Eden Leslie ""Neville"""
491,NO,3,Hagland, Mr. Konrad Mathias Reiersen
492,NO,3,Windelov, Mr. Einar
493,NO,1,Molson, Mr. Harry Markland
494,NO,1,Artagaveytia, Mr. Ramon
495,NO,3,Stanley, Mr. Edward Roland
496,NO,3,Yousseff, Mr. Gerious
497,YES,1,Eustis, Miss. Elizabeth Mussey
498,NO,3,Shellard, Mr. Frederick William
499,NO,1,Allison, Mrs. Hudson J C (Bessie Waldo Daniels)
500,NO,3,Svensson, Mr. Olof
501,NO,3,Calic, Mr. Petar
502,NO,3,Canavan, Miss. Mary
503,NO,3,O'Sullivan, Miss. Bridget Mary
504,NO,3,Laitinen, Miss. Kristina Sofia
505,YES,1,Maioni, Miss. Roberta
506,NO,1,Penasco y Castellana, Mr. Victor de Satode
507,YES,2,Quick, Mrs. Frederick Charles (Jane Richards)
508,YES,1,Bradley," Mr. George (""George Arthur Brayton"")"
509,NO,3,Olsen, Mr. Henry Margido
510,YES,3,Lang, Mr. Fang
511,YES,3,Daly, Mr. Eugene Patrick
512,NO,3,Webber, Mr. James
513,YES,1,McGough, Mr. James Robert
514,YES,1,Rothschild, Mrs. Martin (Elizabeth L. Barrett)
515,NO,3,Coleff, Mr. Satio
516,NO,1,Walker, Mr. William Anderson
517,YES,2,Lemore, Mrs. (Amelia Milley)
518,NO,3,Ryan, Mr. Patrick
519,YES,2,Angle," Mrs. William A (Florence ""Mary"" Agnes Hughes)"
520,NO,3,Pavlovic, Mr. Stefo
521,YES,1,Perreault, Miss. Anne
522,NO,3,Vovk, Mr. Janko
523,NO,3,Lahoud, Mr. Sarkis
524,YES,1,Hippach, Mrs. Louis Albert (Ida Sophia Fischer)
525,NO,3,Kassem, Mr. Fared
526,NO,3,Farrell, Mr. James
527,YES,2,Ridsdale, Miss. Lucy
528,NO,1,Farthing, Mr. John
529,NO,3,Salonen, Mr. Johan Werner
530,NO,2,Hocking, Mr. Richard George
531,YES,2,Quick, Miss. Phyllis May
532,NO,3,Toufik, Mr. Nakli
533,NO,3,Elias, Mr. Joseph Jr
534,YES,3,Peter, Mrs. Catherine (Catherine Rizk)
535,NO,3,Cacic, Miss. Marija
536,YES,2,Hart, Miss. Eva Miriam
537,NO,1,Butt, Major. Archibald Willingham
538,YES,1,LeRoy, Miss. Bertha
539,NO,3,Risien, Mr. Samuel Beard
540,YES,1,Frolicher, Miss. Hedwig Margaritha
541,YES,1,Crosby, Miss. Harriet R
542,NO,3,Andersson, Miss. Ingeborg Constanzia
543,NO,3,Andersson, Miss. Sigrid Elisabeth
544,YES,2,Beane, Mr. Edward
545,NO,1,Douglas, Mr. Walter Donald
546,NO,1,Nicholson, Mr. Arthur Ernest
547,YES,2,Beane, Mrs. Edward (Ethel Clarke)
548,YES,2,Padro y Manent, Mr. Julian
549,NO,3,Goldsmith, Mr. Frank John
550,YES,2,Davies, Master. John Morgan Jr
551,YES,1,Thayer, Mr. John Borland Jr
552,NO,2,Sharp, Mr. Percival James R
553,NO,3,O'Brien, Mr. Timothy
554,YES,3,Leeni," Mr. Fahim (""Philip Zenni"")"
555,YES,3,Ohman, Miss. Velin
556,NO,1,Wright, Mr. George
557,YES,1,Duff Gordon," Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")"
558,NO,1,Robbins, Mr. Victor
559,YES,1,Taussig, Mrs. Emil (Tillie Mandelbaum)
560,YES,3,de Messemaeker, Mrs. Guillaume Joseph (Emma)
